"Código Régimen","Código Departamento","Código Localidad","Padrón","Block/Manzana","EP/SS","Unidad","Área predio","Área edificada","Valor catastral terreno","Valor catastral mejoras","Valor catastral total","Valor para impuestos","Fecha última DJCU","Vigencia última DJCU"
"CO","B","EH",250,"","",0,511,361,226378,1673028,1899406,1899406,"09/06/2011","09/06/2016"
"CO","B","EH",251,"","",0,137,97,60691,934058,994749,994749,"08/08/2019","08/08/2024"
"CO","B","EH",252,"","",0,275,133,119245,992707,1111952,1111952,"/  /","/  /"
"CO","B","EH",253,"","",0,270,0,117073,0,117073,117073,"/  /","/  /"
"CO","B","EH",254,"","",0,258,60,111864,724773,836637,836637,"/  /","/  /"
"CO","B","EH",256,"","",0,286,85,161753,522726,684479,684479,"/  /","/  /"
"CO","B","EH",257,"","",0,282,0,151518,0,151518,151518,"/  /","/  /"
"CO","B","EH",259,"","",0,282,298,151518,1921281,2072799,1664613,"30/01/2023","30/01/2028"
"CO","B","EH",260,"","",0,682,100,366421,817514,1183935,1183935,"/  /","/  /"
"CO","B","EH",261,"","",0,276,45,184709,380505,565214,565214,"/  /","/  /"
"CO","B","EH",262,"","",0,247,0,107099,0,107099,107099,"/  /","/  /"
"CO","B","EH",263,"","",0,271,75,117519,193804,311323,311323,"09/11/2022","09/11/2027"
"CO","B","EH",264,"","",0,268,99,199411,537001,736412,736412,"20/11/2006","20/11/2011"
"CO","B","EH",265,"","",0,278,79,141504,452087,593591,593591,"/  /","/  /"
"CO","B","EH",266,"","",0,447,0,210667,0,210667,210667,"/  /","/  /"
"CO","B","EH",267,"","",0,269,58,149603,315274,464877,464877,"/  /","/  /"
