"C贸digo r茅gimen","C贸digo departamento","C贸digo localidad","Padr贸n","Bloc / Manzana","EP / SS","Unidad","Nivel","Area construida","A帽o de construcci贸n","A帽o remanente","EP/SS uso exclusivo","Unidad uso explusivo","Destinos","Categor铆a de construcci贸n","Estado conservaci贸n","Tipo de cubierta","Indicador cielorraso","Tipo de obra"
"CO","B","EH",288,"","",0,0,40,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",290,"","",0,0,124,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",290,"","",0,0,88,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",295,"","",0,0,135,0,0,NA,0,"VIVIENDA","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",295,"","",0,0,22,0,0,NA,0,"VIVIENDA","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",1079,"","",0,1,261,2007,0,NA,0,"VIVIENDA","Muy confortable","Excelente","Liviana sin cielorraso",NA,"Original"
"CO","B","EH",17234,"","",0,1,399,2007,1980,NA,0,"VIVIENDA","Muy confortable","Excelente","Liviana sin cielorraso",NA,"Reforma"
"CO","B","EH",21,"","",0,0,264,2007,1990,NA,0,"VIVIENDA","Muy confortable","Excelente","Liviana sin cielorraso",NA,"Reforma"
"CO","B","EH",743,"","",0,0,87,2008,0,NA,0,"VIVIENDA","Confortable","Excelente","Losa o bovedilla",NA,"Original"
"CO","B","EH",743,"","",0,1,55,2008,0,NA,0,"VIVIENDA","Confortable","Excelente","Losa o bovedilla",NA,"Original"
"CO","B","EH",17547,"","",0,0,100,2006,0,NA,0,"VIVIENDA","Confortable","Bueno","Losa o bovedilla",NA,"Original"
"CO","B","EH",17547,"","",0,0,25,2006,0,NA,0,"VIVIENDA","Confortable","Bueno","Losa o bovedilla",NA,"Original"
"CO","B","EH",17547,"","",0,0,17,2006,0,NA,0,"PORCHE","Confortable","Bueno","Liviana con cielorraso",NA,"Original"
"CO","B","EH",17547,"","",0,0,19,2006,0,NA,0,"BARBACOA","Confortable","Bueno","Liviana con cielorraso",NA,"Original"
"CO","B","EH",17547,"","",0,1,102,2006,0,NA,0,"VIVIENDA","Confortable","Bueno","Liviana con cielorraso",NA,"Original"
"CO","B","EH",17547,"","",0,1,15,2006,0,NA,0,"VIVIENDA","Confortable","Bueno","Liviana con cielorraso",NA,"Original"
"CO","B","EH",75,"","",0,0,111,1999,0,NA,0,"COMERCIO","Confortable","Bueno","Liviana con cielorraso",NA,"Original"
"CO","B","EH",75,"","",0,0.5,64,1999,0,NA,0,"COMERCIO","Confortable","Bueno","Liviana con cielorraso",NA,"Original"
"CO","B","EH",16754,"","",0,0,157,1996,0,NA,0,"VIVIENDA","Confortable","Bueno","Losa o bovedilla",NA,"Original"
"CO","B","EH",16754,"","",0,1,95,1996,0,NA,0,"VIVIENDA","Confortable","Bueno","Losa o bovedilla",NA,"Original"
"CO","B","EH",16754,"","",0,0,28,2005,0,NA,0,"PISCINA","Confortable","Bueno","Losa o bovedilla",NA,"Original"
"CO","B","EH",17503,"","",0,-1,37,2008,0,NA,0,"COCHERA","1.5","Excelente","Losa o bovedilla",NA,"Original"
"CO","B","EH",17503,"","",0,0,101,2008,0,NA,0,"VIVIENDA","1.5","Excelente","Losa o bovedilla",NA,"Original"
"CO","B","EH",17503,"","",0,0,36,2008,0,NA,0,"PISCINA","1.5","Excelente","Losa o bovedilla",NA,"Original"
"CO","B","EH",17503,"","",0,1,119,2008,0,NA,0,"VIVIENDA","1.5","Excelente","Losa o bovedilla",NA,"Original"
"CO","B","EH",16057,"","",0,0,158,1984,0,NA,0,"VIVIENDA","Comun","Bueno","Liviana sin cielorraso",NA,"Original"
"CO","B","EH",16057,"","",0,0,28,1984,0,NA,0,"PORCHE","Comun","Bueno","Liviana sin cielorraso",NA,"Original"
"CO","B","EH",16057,"","",0,0,27,1984,0,NA,0,"PORCHE","Comun","Bueno","Liviana sin cielorraso",NA,"Original"
"CO","B","EH",16387,"","",0,0,95,1991,0,NA,0,"VIVIENDA","Comun","Regular","Losa o bovedilla",NA,"Original"
"CO","B","EH",838,"","",0,0,79,1998,0,NA,0,"VIVIENDA","2.5","Regular/Malo","Losa o bovedilla",NA,"Original"
"CO","B","EH",838,"","",0,0,15,1998,0,NA,0,"DEPOSITO","Comun","Regular","Liviana sin cielorraso",NA,"Original"
"CO","B","EH",838,"","",0,1,65,1998,0,NA,0,"VIVIENDA","2.5","Regular/Malo","Losa o bovedilla",NA,"Original"
"CO","B","EH",16063,"","",0,0,95,2006,0,NA,0,"VIVIENDA","Comun","Regular","Losa o bovedilla",NA,"Original"
"CO","B","EH",12131,"","",0,-1,121,2001,0,NA,0,"HOTEL, MOTEL","Confortable","Regular","Losa o bovedilla",NA,"Original"
"CO","B","EH",12131,"","",0,0,88,2001,0,NA,0,"HOTEL, MOTEL","Confortable","Regular","Losa o bovedilla",NA,"Original"
"CO","B","EH",12131,"","",0,0,19,2001,0,NA,0,"PORCHE","Confortable","Regular","Losa o bovedilla",NA,"Original"
"CO","B","EH",12131,"","",0,1,204,2001,0,NA,0,"HOTEL, MOTEL","Confortable","Regular","Losa o bovedilla",NA,"Original"
"CO","B","EH",12131,"","",0,2,204,2001,0,NA,0,"HOTEL, MOTEL","Confortable","Regular","Losa o bovedilla",NA,"Original"
"CO","B","EH",174,"","",0,-1,22,1991,0,NA,0,"GARAGE","Confortable","Bueno","Losa o bovedilla",NA,"Original"
"CO","B","EH",174,"","",0,-1,31,1995,0,NA,0,"VIVIENDA","Confortable","Bueno","Losa o bovedilla",NA,"Original"
"CO","B","EH",174,"","",0,0,139,1991,0,NA,0,"VIVIENDA","Confortable","Bueno","Losa o bovedilla",NA,"Original"
"CO","B","EH",174,"","",0,0,18,1995,0,NA,0,"VIVIENDA","Confortable","Bueno","Losa o bovedilla",NA,"Original"
"CO","B","EH",174,"","",0,0,41,1995,0,NA,0,"PISCINA","Confortable","Bueno","Losa o bovedilla",NA,"Original"
"CO","B","EH",174,"","",0,1,48,1995,0,NA,0,"VIVIENDA","Confortable","Bueno","Losa o bovedilla",NA,"Original"
"CO","B","EH",174,"","",0,0,17,1991,0,NA,0,"PORCHE","Confortable","Bueno","Losa o bovedilla",NA,"Original"
"CO","B","EH",17692,"","",0,0,196,2006,1980,NA,0,"HOTEL, MOTEL","Confortable","Excelente","Losa o bovedilla",NA,"Reforma"
"CO","B","EH",17692,"","",0,0,117,2007,2006,NA,0,"HOTEL, MOTEL","Confortable","Excelente","Losa o bovedilla",NA,"Reforma"
"CO","B","EH",17692,"","",0,0,62,2007,0,NA,0,"HOTEL, MOTEL","Confortable","Excelente","Losa o bovedilla",NA,"Original"
"CO","B","EH",17692,"","",0,0,2,2006,1980,NA,0,"PORCHE","Confortable","Excelente","Losa o bovedilla",NA,"Reforma"
"CO","B","EH",17692,"","",0,0,20,2007,2006,NA,0,"PORCHE","Confortable","Excelente","Losa o bovedilla",NA,"Reforma"
"CO","B","EH",17692,"","",0,0,43,2007,0,NA,0,"PORCHE","Confortable","Excelente","Losa o bovedilla",NA,"Original"
"CO","B","EH",17692,"","",0,0,54,2007,0,NA,0,"PISCINA","Confortable","Excelente","Losa o bovedilla",NA,"Original"
"CO","B","EH",17692,"","",0,1,124,2006,1980,NA,0,"HOTEL, MOTEL","Confortable","Excelente","Losa o bovedilla",NA,"Reforma"
"CO","B","EH",17692,"","",0,1,124,2007,2006,NA,0,"HOTEL, MOTEL","Confortable","Excelente","Losa o bovedilla",NA,"Reforma"
"CO","B","EH",17692,"","",0,1,97,2007,0,NA,0,"HOTEL, MOTEL","Confortable","Excelente","Losa o bovedilla",NA,"Original"
"CO","B","EH",308,"","",0,0,94,1961,0,NA,0,"VIVIENDA","Economica","Regular","Losa o bovedilla",NA,"Original"
"CO","B","EH",308,"","",0,0,26,1971,0,NA,0,"VIVIENDA","Economica","Regular","Losa o bovedilla",NA,"Original"
"CO","B","EH",17722,"","",0,0,106,1995,0,NA,0,"VIVIENDA","Comun","Regular","Losa o bovedilla",NA,"Original"
"CO","B","EH",17722,"","",0,0,14,1995,0,NA,0,"PORCHE","Comun","Regular","Losa o bovedilla",NA,"Original"
"CO","B","EH",17722,"","",0,0,31,1995,0,NA,0,"CHURRASQUERA","Comun","Regular","Losa o bovedilla",NA,"Original"
"CO","B","EH",17722,"","",0,0,26,2007,0,NA,0,"PISCINA","Comun","Bueno/Regular","Losa o bovedilla",NA,"Original"
"CO","B","EH",17722,"","",0,1,95,1995,0,NA,0,"VIVIENDA","Comun","Regular","Losa o bovedilla",NA,"Original"
"CO","B","EH",15074,"","",0,0,65,2008,0,NA,0,"VIVIENDA","2.5","Bueno","Losa o bovedilla",NA,"Original"
"CO","B","EH",15074,"","",0,1,57,2008,0,NA,0,"VIVIENDA","2.5","Bueno","Losa o bovedilla",NA,"Original"
"CO","B","EH",679,"","",0,0,59,2004,0,NA,0,"VIVIENDA","Comun","Excelente","Losa o bovedilla",NA,"Original"
"CO","B","EH",679,"","",0,0,28,2004,0,NA,0,"VIVIENDA","Comun","Excelente","Losa o bovedilla",NA,"Original"
"CO","B","EH",679,"","",0,0,40,2004,0,NA,0,"VIVIENDA","Comun","Excelente","Losa o bovedilla",NA,"Original"
"CO","B","EH",17567,"","",0,0,304,2006,0,NA,0,"COMERCIO","Muy confortable","Excelente","Losa o bovedilla",NA,"Original"
"CO","B","EH",11634,"","",0,0,304,1940,0,NA,0,"VIVIENDA","Confortable","Bueno","Liviana sin cielorraso",NA,"Original"
"CO","B","EH",11634,"","",0,0,37,1988,1940,NA,0,"VIVIENDA","1.5","Excelente/Bueno","Liviana sin cielorraso",NA,"Reforma"
"CO","B","EH",11634,"","",0,0,16,1988,0,NA,0,"VIVIENDA","1.5","Excelente/Bueno","Liviana sin cielorraso",NA,"Original"
"CO","B","EH",11634,"","",0,1,106,1988,0,NA,0,"VIVIENDA","1.5","Excelente/Bueno","Liviana sin cielorraso",NA,"Original"
"CO","B","EH",11634,"","",0,0,65,1992,1940,NA,0,"VIVIENDA","1.5","Excelente/Bueno","Liviana sin cielorraso",NA,"Reforma"
"CO","B","EH",11634,"","",0,0,36,2006,1940,NA,0,"VIVIENDA","1.5","Excelente/Bueno","Liviana sin cielorraso",NA,"Reforma"
"CO","B","EH",11634,"","",0,0,46,2006,0,NA,0,"VIVIENDA","1.5","Excelente/Bueno","Liviana sin cielorraso",NA,"Original"
"CO","B","EH",11634,"","",0,0,52,2006,0,NA,0,"BARBACOA","1.5","Excelente/Bueno","Liviana sin cielorraso",NA,"Original"
"CO","B","EH",16458,"","",0,0,71,2006,0,NA,0,"VIVIENDA","Economica","Malo","Losa o bovedilla",NA,"Original"
"CO","B","EH",16458,"","",0,0,7,2006,0,NA,0,"DEPOSITO","Economica","Malo","Losa o bovedilla",NA,"Original"
"CO","B","EH",16458,"","",0,1,22,2006,0,NA,0,"VIVIENDA","Economica","Malo","Liviana con cielorraso",NA,"Original"
"CO","B","EH",17486,"","",0,0,187,2007,0,NA,0,"VIVIENDA","Confortable","Bueno","Losa o bovedilla",NA,"Original"
"CO","B","EH",17486,"","",0,0,55,2007,0,NA,0,"CUBIERTA,TECHADO,COBERTIZO","Confortable","Bueno","Liviana sin cielorraso",NA,"Original"
